code,level,sub county,district_code,registered_voters,abed_bwanika,amama_mbabazi,baryamureeba_venansius,benon_biraaro,kizza_besigye,joseph_mabirizi,moureen_kyalya,yoweri_museveni,invalid
1054,sub county,Katunguru,101,2046,2,7,4,2,471,0,2,879,68
971,sub county,Kayonza,62,13425,35,905,72,11,2090,11,6,6790,550
1442,sub county,Kayunga,26,18845,127,90,66,24,5693,13,52,5546,494
1067,sub county,Kebisoni,63,13737,20,30,24,5,4737,7,7,4929,367
1172,sub county,Kei,48,10826,128,222,106,45,1859,51,54,5658,461
,sub county,Kibaale Town Council,,3197,2,10,3,5,552,4,5,1305,192
2232,sub county,Kibalinga,22,14183,33,45,20,17,1344,12,13,7840,680
1926,sub county,Kibiito,57,9442,15,26,28,14,1125,8,12,5196,280
1818,sub county,Kicuzi,2,7473,33,19,14,11,909,4,5,4655,160
1330,sub county,Kigandalo,73,13412,42,31,34,14,2351,15,73,6381,695
1113,sub county,Kigarama,99,11681,32,55,36,13,2091,6,37,6406,178
1594,sub county,Kihuura,69,11739,31,39,16,14,1363,8,8,6641,167
1857,sub county,Kikagate,3,22793,25,39,30,10,2695,13,10,12552,287
2205,sub county,Kikandwa,29,12215,95,58,40,20,2359,25,35,5932,402
,sub county,Kimaanya,,15865,203,109,11,13,5282,5,18,3609,281
,sub county,Kimaka,,15636,24,49,3,9,4424,3,91,3469,213
1321,sub county,Kimengo,97,6213,12,19,14,7,358,7,3,3652,166
2253,sub county,Kimenyedde,79,11868,85,53,38,16,2709,19,23,4294,323
1376,sub county,Kirima,65,9255,28,350,36,10,2263,5,8,4029,191
2221,sub county,Kiringente,68,9690,109,46,25,14,2932,12,24,2952,252
1522,sub county,Kirundo,60,7666,17,20,10,5,646,6,6,4863,68
1270,sub county,Kiryandongo,98,33376,184,354,118,78,2571,39,87,15742,1955
1648,sub county,Kisekka,17,22522,146,238,42,17,6597,30,29,7680,614
1136,sub county,Kisoko,34,9190,55,65,38,23,2695,32,37,3088,371
1288,sub county,Kisozi,77,20152,59,82,88,12,3181,27,120,8375,561
1114,sub county,Kitagata,99,9914,14,58,23,7,2379,6,11,4671,255
1417,sub county,Kitswamba,58,13325,106,75,44,19,4263,11,18,3828,433
